,SEMBAWANG,CLEMENTI,SERANGOON,NORTH-EASTERN ISLANDS,ROCHOR,MANDAI,BISHAN,DOWNTOWN CORE,ORCHARD,PASIR RIS,ANG MO KIO,WOODLANDS,WESTERN WATER CATCHMENT,HOUGANG,SINGAPORE RIVER,CHOA CHU KANG,SELETAR,JURONG EAST,PIONEER,CHANGI BAY,BEDOK,STRAITS VIEW,SIMPANG,RIVER VALLEY,GEYLANG,OUTRAM,TANGLIN,BUKIT MERAH,MARINA SOUTH,SUNGEI KADUT,NOVENA,TAMPINES,BUKIT BATOK,QUEENSTOWN,TUAS,CENTRAL WATER CATCHMENT,TENGAH,BUKIT PANJANG,MUSEUM,BOON LAY,CHANGI,NEWTON,SOUTHERN ISLANDS,SENGKANG,BUKIT TIMAH,TOA PAYOH,YISHUN,MARINE PARADE,PAYA LEBAR,PUNGGOL,LIM CHU KANG,WESTERN ISLANDS,MARINA EAST,JURONG WEST,KALLANG
SEMBAWANG,1,0.653590909,0.766258214,0.475857572,0.640351849,0.927165162,0.76623031,0.59852026,0.647220463,0.650233152,0.823668939,0.930392582,0.655215772,0.733930313,0.612412405,0.772206774,0.84145258,0.630654197,0.521438934,0.425131151,0.601313133,0.560373656,0.92683841,0.633356195,0.647685051,0.594866853,0.65991609,0.580823392,0.578118113,0.840188102,0.702066646,0.590665982,0.727887443,0.605119306,0.398060298,0.819184617,0.70383923,0.773280453,0.624133048,0.573349609,0.512571431,0.657563099,0.518368644,0.786511408,0.704299547,0.710271138,0.906597856,0.596078325,0.686250277,0.762365242,0.765826907,0.452012463,0.591915021,0.625321485,0.647885163
CLEMENTI,0.653590909,1,0.730934076,0.321317298,0.787874562,0.739986405,0.80137778,0.773195466,0.834738911,0.537454714,0.766490829,0.711153802,0.782577062,0.682910127,0.808491988,0.847382942,0.649065828,0.950760694,0.801384774,0.37141047,0.608309043,0.752090772,0.63713959,0.830744032,0.702500392,0.800355023,0.874693525,0.832308726,0.745185369,0.772287438,0.832241476,0.542461017,0.921295363,0.924413933,0.69253403,0.841600201,0.878483042,0.891984504,0.799648627,0.872219935,0.435461587,0.82572706,0.780796526,0.659617857,0.935586962,0.767185947,0.716171156,0.683640738,0.628254292,0.595939403,0.72444666,0.808111128,0.735214934,0.867062801,0.757673558
SERANGOON,0.766258214,0.730934076,1,0.60081401,0.863067613,0.802576935,0.943256222,0.823208156,0.84478211,0.81671133,0.942144848,0.748614834,0.581485507,0.96060197,0.822408803,0.718224366,0.893742117,0.674838809,0.526266373,0.620056686,0.837179526,0.787175767,0.821023632,0.833026956,0.895230386,0.806539181,0.831210131,0.772853451,0.810450326,0.718385472,0.893040325,0.799228858,0.739561365,0.741995826,0.410930812,0.850503638,0.677692509,0.784640715,0.839826862,0.595668917,0.697604143,0.860220682,0.72159473,0.934912914,0.809181107,0.943438459,0.872955027,0.843337857,0.899505485,0.873431565,0.621950409,0.540080661,0.829373432,0.616019235,0.883958483
NORTH-EASTERN ISLANDS,0.475857572,0.321317298,0.60081401,1,0.516483646,0.449742185,0.53081164,0.500079608,0.473652258,0.79751349,0.545157713,0.409241291,0.178413069,0.651638492,0.47463891,0.317547791,0.63141203,0.262890844,0.113474757,0.834447734,0.696233992,0.485515993,0.562524993,0.468347636,0.612669723,0.467528947,0.443006915,0.419206276,0.512006511,0.34228272,0.499354805,0.774189113,0.327896138,0.351297599,0,0.44597858,0.268487355,0.37549706,0.493085573,0.18328103,0.861570766,0.488479462,0.3982045,0.657402141,0.399205294,0.565739301,0.534511422,0.599763284,0.706476783,0.71213336,0.248002547,0.145764592,0.536326064,0.203469854,0.552660061
ROCHOR,0.640351849,0.787874562,0.863067613,0.516483646,1,0.701715686,0.887934884,0.971859619,0.966233898,0.722783903,0.829456526,0.649635461,0.576398476,0.845909835,0.969301159,0.691377869,0.743014922,0.724795531,0.577579234,0.59179491,0.826088159,0.93377874,0.677761977,0.964961721,0.917471465,0.956006759,0.927002532,0.9136416,0.949799585,0.655270645,0.943882,0.752394213,0.745430636,0.843874443,0.478550512,0.79897212,0.680418072,0.768255695,0.988531884,0.647811824,0.647316597,0.97554145,0.871253208,0.788650758,0.850337648,0.933498664,0.744765248,0.909534178,0.814600329,0.734713905,0.569776671,0.641333667,0.954440232,0.644080735,0.977691852
MANDAI,0.927165162,0.739986405,0.802576935,0.449742185,0.701715686,1,0.825126403,0.661118408,0.716440166,0.645184598,0.872064155,0.959552035,0.723735109,0.758283343,0.679825082,0.851988564,0.832084784,0.716956097,0.602702386,0.425420138,0.626732615,0.623426715,0.882374864,0.702800022,0.689590413,0.662508026,0.734672713,0.654606908,0.637815639,0.904305268,0.768567053,0.600361354,0.813987408,0.687866164,0.478916755,0.901016553,0.785061948,0.859983335,0.689037663,0.657450327,0.509900999,0.724653894,0.591066525,0.793657274,0.787219937,0.761604173,0.927955962,0.640710881,0.701620488,0.750149232,0.81212247,0.538699914,0.648044002,0.706621774,0.702430429
BISHAN,0.76623031,0.80137778,0.943256222,0.53081164,0.887934884,0.825126403,1,0.846157468,0.889914567,0.747052792,0.953361429,0.771723024,0.643786763,0.89273935,0.858131815,0.776800653,0.845957388,0.745402556,0.596516564,0.559624559,0.788638747,0.80801171,0.797692087,0.876302649,0.869753107,0.840671399,0.889114964,0.818489071,0.825038464,0.762388179,0.945556994,0.737987331,0.806700065,0.805864326,0.481539499,0.905650903,0.743049796,0.848387438,0.871265623,0.666117668,0.633280346,0.902536937,0.759794257,0.870109272,0.87953173,0.947516669,0.869476676,0.825475563,0.833854348,0.806582894,0.669199079,0.607689034,0.836635808,0.684696384,0.891135062
DOWNTOWN CORE,0.59852026,0.773195466,0.823208156,0.500079608,0.971859619,0.661118408,0.846157468,1,0.946958858,0.699312014,0.78745314,0.609573199,0.552366293,0.811533979,0.978422295,0.660592599,0.703116171,0.711122426,0.568372482,0.589489667,0.816210357,0.975722296,0.636043701,0.955247669,0.897790674,0.980047215,0.908601703,0.931068963,0.985135062,0.619344466,0.90570204,0.739160476,0.719447639,0.842327342,0.476057447,0.76127176,0.655921202,0.736898544,0.983359082,0.6373045,0.637529375,0.946549589,0.905134181,0.751116343,0.825983319,0.893296441,0.702762335,0.910156155,0.788163553,0.700045974,0.536619068,0.648694627,0.97291693,0.626769898,0.949611794
ORCHARD,0.647220463,0.834738911,0.84478211,0.473652258,0.966233898,0.716440166,0.889914567,0.946958858,1,0.683476074,0.829499572,0.666941936,0.618534616,0.816093548,0.976167111,0.727245485,0.72832344,0.771769076,0.625107838,0.544447963,0.779550924,0.914765255,0.673738532,1,0.872554182,0.959542168,0.973702124,0.941323884,0.918338778,0.683361632,0.958049595,0.707295931,0.786199664,0.890228902,0.52597134,0.822207775,0.722301309,0.803277505,0.976889866,0.695241902,0.601453211,0.997930981,0.883629366,0.766377275,0.892625249,0.910739809,0.74675653,0.862085279,0.776491709,0.70784028,0.602628902,0.685805425,0.913213526,0.689847155,0.932273604
PASIR RIS,0.650233152,0.537454714,0.81671133,0.79751349,0.722783903,0.645184598,0.747052792,0.699312014,0.683476074,1,0.757168093,0.598084782,0.388838783,0.867990764,0.678948679,0.52750266,0.821596407,0.479244182,0.32978118,0.788639339,0.874278447,0.67725543,0.734836203,0.676540272,0.815387112,0.669161812,0.655737955,0.622891511,0.704975401,0.542958631,0.713943159,0.92907179,0.542775321,0.563478008,0.216204439,0.658296684,0.482018235,0.589221086,0.698071007,0.399633908,0.876191258,0.698914032,0.591916535,0.86431689,0.615454893,0.780132591,0.730938893,0.787478251,0.920643316,0.901305865,0.446414818,0.357693725,0.730114527,0.418891044,0.758298452
